y_true,churn_probability,churn_prediction,cashback_pct,risk_score,risk_category,risk_tier,cluster,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,rfm_total,rfm_segment,device_per_tenure,cashback_per_order,inactivity_ratio,persona,recommended_action
0,0.0,0,136.29,0.4555,High,High Risk,3,10.0,Mobile,1,17.0,Credit Card,Female,3.0,3,Mobile Phone,3,Single,5,0,18.0,0.0,1.0,2.0,136.29,6,Recent Customers,0.2727272727272727,68.145,0.1818181818181818,Đô thị Trung thành,⚠️ Risk Alert: Gửi email thăm dò mức độ hài lòng
0,0.07407407164573669,0,129.96,0.435,High,High Risk,2,10.0,Mobile,1,10.0,Debit Card,Male,,3,Mobile,3,Married,8,1,15.0,1.0,1.0,3.0,129.96,5,Hibernating,0.2727272727272727,64.98,0.2727272727272727,Đô thị Trung thành,⚠️ Risk Alert: Gửi email thăm dò mức độ hài lòng
0,0.01764705926179886,0,76.09,0.2545,Low,Low Risk,2,6.0,Computer,1,12.0,Cash on Delivery,Male,4.0,4,Mobile Phone,4,Single,4,0,15.0,2.0,2.0,8.0,152.18,6,At Risk,0.5714285714285714,50.72666666666667,1.1428571428571428,Đô thị Trung thành,✅ Duy trì chăm sóc tiêu chuẩn
0,0.0,0,75.38,0.2519,Low,Low Risk,2,16.0,Mobile,1,7.0,Debit Card,Female,4.0,4,Mobile Phone,5,Married,5,0,17.0,1.0,2.0,3.0,150.76,8,Hibernating,0.2352941176470588,50.25333333333333,0.1764705882352941,Đô thị Trung thành,✅ Duy trì chăm sóc tiêu chuẩn
0,0.010606060922145843,0,54.943333333333335,0.1837,Low,Low Risk,1,3.0,Mobile,1,16.0,UPI,Male,2.0,5,Mobile Phone,1,Single,2,0,18.0,2.0,3.0,3.0,164.83,10,Loyal,1.25,41.2075,0.75,Đô thị Trung thành,✅ Duy trì chăm sóc tiêu chuẩn
0,0.0018691588193178177,0,93.21,0.3116,Medium,Medium Risk,1,9.0,Mobile,1,17.0,Credit Card,Female,3.0,4,Laptop & Accessory,3,Single,5,1,17.0,1.0,2.0,5.0,186.42,9,Loyal,0.4,62.13999999999999,0.5,Đô thị Trung thành,💳 Gửi mã Freeship định kỳ
0,0.0,0,36.99875,0.1237,Very Low,Low Risk,0,26.0,Mobile,1,7.0,Debit Card,Male,4.0,4,Grocery,1,Married,4,0,,4.0,8.0,9.0,295.99,11,Champions,0.1481481481481481,32.88777777777778,0.3333333333333333,VIP Ổn định,✅ Duy trì chăm sóc tiêu chuẩn
1,0.7585377991199493,1,77.045,0.2634,Medium,Medium Risk,1,1.0,Computer,3,8.0,Cash on Delivery,Male,4.0,4,Mobile Phone,3,Married,5,0,16.0,2.0,2.0,3.0,154.09,9,Loyal,2.0,51.36333333333334,1.5,Đô thị Trung thành,💳 Gửi mã Freeship định kỳ
0,0.04102564156055451,0,142.49,0.4766,High,High Risk,3,8.0,Computer,1,10.0,Debit Card,Male,2.0,3,Laptop & Accessory,3,Single,2,1,11.0,1.0,1.0,1.0,142.49,7,Recent Customers,0.3333333333333333,71.245,0.1111111111111111,Đô thị Trung thành,⚠️ Risk Alert: Gửi email thăm dò mức độ hài lòng
0,0.03529411852359772,0,39.24,0.1314,Very Low,Low Risk,1,2.0,Mobile,1,26.0,Credit Card,Male,4.0,5,Mobile Phone,5,Married,3,0,13.0,2.0,4.0,4.0,156.96,10,Loyal,1.6666666666666667,31.392000000000003,1.3333333333333333,Đô thị Trung thành,✅ Duy trì chăm sóc tiêu chuẩn
0,0.0,0,89.495,0.2991,Medium,Medium Risk,1,19.0,Computer,1,8.0,Credit Card,Male,3.0,4,Laptop & Accessory,3,Single,6,0,13.0,1.0,2.0,4.0,178.99,10,Loyal,0.2,59.66333333333333,0.2,Đô thị Trung thành,💳 Gửi mã Freeship định kỳ
0,0.0,0,50.02,0.1672,Low,Low Risk,2,9.0,Mobile,1,7.0,Debit Card,Female,3.0,2,Mobile Phone,3,Single,5,0,14.0,3.0,3.0,3.0,150.06,9,Hibernating,0.2,37.515,0.3,Đô thị Trung thành,✅ Duy trì chăm sóc tiêu chuẩn
0,0.010606060922145843,0,100.775,0.3369,Medium,Medium Risk,0,2.0,Mobile,1,10.0,Credit Card,Female,4.0,4,Fashion,4,Married,2,0,18.0,1.0,2.0,8.0,201.55,9,Champions,1.3333333333333333,67.18333333333334,2.6666666666666665,VIP Ổn định,⭐ Đề xuất nâng cấp gói hội viên (Up-sell)
0,0.010606060922145843,0,156.47,0.5231,Critical,High Risk,3,9.0,Mobile,3,22.0,E wallet,Female,3.0,4,Laptop & Accessory,5,Divorced,5,0,13.0,1.0,1.0,2.0,156.47,9,Recent Customers,0.4,78.235,0.2,Đô thị Trung thành,⚠️ Risk Alert: Gửi email thăm dò mức độ hài lòng
0,0.04102564156055451,0,135.44,0.453,High,High Risk,3,13.0,Computer,1,22.0,Debit Card,Male,3.0,3,Mobile,3,Married,10,0,16.0,1.0,1.0,0.0,135.44,7,Recent Customers,0.2142857142857142,67.72,0.0,Đô thị Trung thành,⚠️ Risk Alert: Gửi email thăm dò mức độ hài lòng
0,0.0018691588193178177,0,67.09,0.2242,Low,Low Risk,0,17.0,Mobile,1,19.0,Debit Card,Male,3.0,5,Grocery,4,Married,3,0,12.0,,4.0,10.0,268.36,10,Champions,0.2777777777777778,53.672,0.5555555555555556,VIP Ổn định,✅ Duy trì chăm sóc tiêu chuẩn
1,0.5337627857923508,1,72.79,0.2474,Low,Low Risk,2,1.0,Mobile,1,7.0,Cash on Delivery,Male,3.0,4,Mobile Phone,3,Single,2,0,15.0,1.0,2.0,6.0,145.58,6,Hibernating,2.0,48.52666666666667,3.0,Đô thị Trung thành,✅ Duy trì chăm sóc tiêu chuẩn
0,0.0018691588193178177,0,113.605,0.3797,High,High Risk,0,9.0,Mobile,1,14.0,UPI,Male,3.0,4,Fashion,3,Single,5,0,22.0,1.0,2.0,,227.21,14,Champions,0.4,75.73666666666666,,VIP Ổn định,"🎁 VIP Care: Liên hệ cá nhân, tặng quà tri ân"
0,0.0,0,13.55181818181818,0.0453,Very Low,Low Risk,1,15.0,Mobile,3,6.0,Debit Card,Male,2.0,3,Laptop & Accessory,3,Divorced,2,0,25.0,4.0,11.0,6.0,149.07,9,At Risk,0.1875,12.4225,0.375,Đô thị Trung thành,✅ Duy trì chăm sóc tiêu chuẩn
0,0.010606060922145843,0,128.27,0.4288,High,High Risk,3,5.0,Computer,3,8.0,Debit Card,Female,,3,Mobile,5,Married,2,0,12.0,0.0,1.0,0.0,128.27,7,Recent Customers,0.5,64.135,0.0,Đô thị Trung thành,⚠️ Risk Alert: Gửi email thăm dò mức độ hài lòng
0,0.01764705926179886,0,134.47,0.4496,High,High Risk,3,0.0,Mobile,3,28.0,Cash on Delivery,Male,2.0,3,Mobile,3,Single,2,0,11.0,0.0,1.0,2.0,134.47,6,Recent Customers,3.0,67.235,2.0,Đô thị Trung thành,⚠️ Risk Alert: Gửi email thăm dò mức độ hài lòng
0,0.0018691588193178177,0,95.0,0.3175,Medium,Medium Risk,1,1.0,Mobile,3,9.0,Credit Card,Female,3.0,2,Laptop & Accessory,3,Single,2,0,15.0,1.0,2.0,8.0,190.0,8,Loyal,1.0,63.333333333333336,4.0,Đô thị Trung thành,💳 Gửi mã Freeship định kỳ
0,0.0,0,106.765,0.3568,High,High Risk,0,3.0,Computer,1,9.0,Debit Card,Male,3.0,4,Laptop & Accessory,1,Married,3,0,20.0,1.0,2.0,,213.53,14,Champions,1.0,71.17666666666666,,VIP Ổn định,"🎁 VIP Care: Liên hệ cá nhân, tặng quà tri ân"
0,0.0018691588193178177,0,66.9375,0.2237,Low,Low Risk,0,27.0,Mobile,1,30.0,Debit Card,Female,4.0,4,Grocery,2,Single,8,0,19.0,,4.0,9.0,267.75,10,Champions,0.1428571428571428,53.55,0.3214285714285714,VIP Ổn định,✅ Duy trì chăm sóc tiêu chuẩn
0,0.0,0,235.77,0.788,Critical,High Risk,0,28.0,Computer,1,14.0,Credit Card,Male,2.0,4,Grocery,4,Married,2,1,15.0,2.0,,0.0,235.77,15,Champions,0.1379310344827586,235.77,0.0,VIP Ổn định,"🎁 VIP Care: Liên hệ cá nhân, tặng quà tri ân"
0,0.04102564156055451,0,65.325,0.2187,Low,Low Risk,2,4.0,Computer,1,9.0,Credit Card,Male,,3,Mobile,5,Married,2,1,13.0,0.0,2.0,3.0,130.65,6,Hibernating,0.6,43.55,0.6,Đô thị Trung thành,✅ Duy trì chăm sóc tiêu chuẩn
0,0.0018691588193178177,0,80.61,0.2694,Medium,Medium Risk,1,8.0,Mobile,1,7.0,Debit Card,Male,3.0,5,Mobile Phone,2,Divorced,3,1,14.0,1.0,2.0,4.0,161.22,9,Loyal,0.5555555555555556,53.74,0.4444444444444444,Đô thị Trung thành,💳 Gửi mã Freeship định kỳ
0,0.0018691588193178177,0,75.425,0.2521,Low,Low Risk,2,8.0,Mobile,1,27.0,Cash on Delivery,Female,3.0,2,Mobile Phone,3,Married,2,0,18.0,2.0,2.0,1.0,150.85,9,Hibernating,0.2222222222222222,50.28333333333333,0.1111111111111111,Đô thị Trung thành,✅ Duy trì chăm sóc tiêu chuẩn
1,1.0,1,157.65,0.5347,Critical,High Risk,3,0.0,Computer,3,19.0,Cash on Delivery,Female,2.0,3,Laptop & Accessory,4,Single,6,0,11.0,0.0,1.0,0.0,157.65,10,Recent Customers,3.0,78.825,0.0,Đô thị Trung thành,⚠️ Risk Alert: Gửi email thăm dò mức độ hài lòng
0,0.04102564156055451,0,28.03,0.094,Very Low,Low Risk,0,12.0,Mobile,3,21.0,Debit Card,Male,4.0,4,Laptop & Accessory,4,Married,2,0,12.0,6.0,8.0,,224.24,15,Champions,0.3076923076923077,24.91555555555556,,VIP Ổn định,✅ Duy trì chăm sóc tiêu chuẩn
1,0.82582106590271,1,89.405,0.3053,Medium,Medium Risk,1,12.0,Mobile,1,7.0,Debit Card,Male,4.0,5,Fashion,3,Single,11,1,14.0,1.0,2.0,1.0,178.81,12,Loyal,0.3846153846153846,59.60333333333333,0.0769230769230769,Đô thị Trung thành,💳 Gửi mã Freeship định kỳ
0,0.0010591373778879643,0,22.30875,0.0746,Very Low,Low Risk,0,16.0,Mobile,3,8.0,Credit Card,Male,3.0,3,Laptop & Accessory,1,Married,2,1,17.0,3.0,8.0,8.0,178.47,11,Champions,0.1764705882352941,19.83,0.4705882352941176,VIP Ổn định,✅ Duy trì chăm sóc tiêu chuẩn
0,0.01764705926179886,0,49.666666666666664,0.1661,Low,Low Risk,2,1.0,Computer,3,31.0,Credit Card,Male,3.0,4,Mobile Phone,2,Divorced,2,0,14.0,1.0,3.0,2.0,149.0,10,Hibernating,2.0,37.25,1.0,Đô thị Trung thành,✅ Duy trì chăm sóc tiêu chuẩn
0,0.0018691588193178177,0,55.85666666666666,0.1867,Low,Low Risk,1,30.0,Mobile,1,15.0,Debit Card,Female,4.0,4,Mobile Phone,5,Married,6,1,19.0,3.0,3.0,3.0,167.57,10,Loyal,0.1290322580645161,41.8925,0.0967741935483871,Đô thị Trung thành,✅ Duy trì chăm sóc tiêu chuẩn
1,0.9973030686378479,1,18.122857142857143,0.0683,Very Low,Low Risk,3,0.0,Mobile,1,6.0,UPI,Male,,3,Mobile,2,Single,2,1,13.0,5.0,7.0,8.0,126.86,7,At Risk,3.0,15.8575,8.0,Đô thị Trung thành,✅ Duy trì chăm sóc tiêu chuẩn
0,0.0018691588193178177,0,47.77333333333333,0.1597,Low,Low Risk,1,15.0,Computer,1,29.0,Debit Card,Male,2.0,4,Laptop & Accessory,3,Single,2,0,12.0,3.0,3.0,7.0,143.32,8,At Risk,0.25,35.83,0.4375,Đô thị Trung thành,✅ Duy trì chăm sóc tiêu chuẩn
0,0.0,0,35.686,0.1193,Very Low,Low Risk,0,8.0,Computer,1,7.0,Credit Card,Male,4.0,5,Laptop & Accessory,5,Single,2,0,21.0,2.0,5.0,10.0,178.43,9,Champions,0.5555555555555556,29.738333333333333,1.1111111111111112,VIP Ổn định,✅ Duy trì chăm sóc tiêu chuẩn
0,0.04102564156055451,0,163.84,0.5479,Critical,High Risk,2,2.0,Mobile,1,35.0,Debit Card,Male,3.0,5,Laptop & Accessory,3,Married,9,0,17.0,0.0,1.0,6.0,163.84,7,Hibernating,1.6666666666666667,81.92,2.0,Đô thị Trung thành,⚠️ Risk Alert: Gửi email thăm dò mức độ hài lòng
1,0.01764705926179886,0,20.028125,0.0671,Very Low,Low Risk,0,5.0,Mobile,1,19.0,Cash on Delivery,Female,3.0,4,Others,3,Divorced,3,0,,10.0,16.0,9.0,320.45,11,Champions,0.6666666666666666,18.85,1.5,VIP Ổn định,✅ Duy trì chăm sóc tiêu chuẩn
0,0.19663865566253663,0,50.53333333333333,0.1704,Low,Low Risk,2,9.0,Mobile,1,18.0,Credit Card,Male,3.0,4,Mobile Phone,3,Married,9,1,12.0,3.0,3.0,3.0,151.6,9,Hibernating,0.4,37.9,0.3,Đô thị Trung thành,✅ Duy trì chăm sóc tiêu chuẩn
0,0.010606060922145843,0,145.0,0.4847,High,High Risk,3,22.0,Mobile,1,13.0,UPI,Male,2.0,4,Fashion,3,Single,9,0,24.0,1.0,1.0,0.0,145.0,8,Recent Customers,0.1739130434782608,72.5,0.0,Đô thị Trung thành,⚠️ Risk Alert: Gửi email thăm dò mức độ hài lòng
0,0.04102564156055451,0,257.45,0.8608,Critical,High Risk,0,19.0,Mobile,1,13.0,UPI,Male,3.0,4,Fashion,5,Married,6,1,15.0,2.0,,1.0,257.45,15,Champions,0.2,257.45,0.05,VIP Ổn định,"🎁 VIP Care: Liên hệ cá nhân, tặng quà tri ân"
0,0.0,0,22.04714285714286,0.0737,Very Low,Low Risk,1,7.0,Mobile,1,9.0,Debit Card,Female,3.0,3,Laptop & Accessory,4,Married,2,0,12.0,7.0,7.0,9.0,154.33,9,Loyal,0.375,19.29125,1.125,Đô thị Trung thành,✅ Duy trì chăm sóc tiêu chuẩn
0,0.0,0,136.57,0.4565,High,High Risk,0,27.0,Mobile,1,14.0,Debit Card,Male,3.0,2,Grocery,3,Married,5,0,20.0,,2.0,4.0,273.14,12,Champions,0.0714285714285714,91.04666666666668,0.1428571428571428,VIP Ổn định,"🎁 VIP Care: Liên hệ cá nhân, tặng quà tri ân"
0,0.01764705926179886,0,120.8,0.4039,High,High Risk,3,,Mobile,1,6.0,Cash on Delivery,Male,2.0,3,Mobile,5,Single,3,0,11.0,0.0,1.0,2.0,120.8,6,Recent Customers,3.0,60.4,2.0,Đô thị Trung thành,⚠️ Risk Alert: Gửi email thăm dò mức độ hài lòng
0,0.0,0,156.73,0.5239,Critical,High Risk,2,9.0,Mobile,3,16.0,Cash on Delivery,Female,3.0,4,Laptop & Accessory,3,Married,2,1,13.0,1.0,1.0,7.0,156.73,7,Hibernating,0.4,78.365,0.7,Đô thị Trung thành,⚠️ Risk Alert: Gửi email thăm dò mức độ hài lòng
1,0.39621669352054595,0,126.93,0.4273,High,High Risk,3,0.0,Mobile,1,24.0,UPI,Female,,3,Mobile,1,Single,2,0,19.0,1.0,1.0,0.0,126.93,7,Recent Customers,3.0,63.465,0.0,Đô thị Trung thành,⚠️ Risk Alert: Gửi email thăm dò mức độ hài lòng
0,0.0018691588193178177,0,35.9625,0.1202,Very Low,Low Risk,1,18.0,Computer,3,32.0,E wallet,Male,2.0,4,Laptop & Accessory,5,Married,2,0,15.0,3.0,4.0,5.0,143.85,8,At Risk,0.2105263157894736,28.77,0.2631578947368421,Đô thị Trung thành,✅ Duy trì chăm sóc tiêu chuẩn
0,0.0018691588193178177,0,186.86,0.6246,Critical,High Risk,2,11.0,Mobile,3,6.0,Debit Card,Female,2.0,4,Laptop & Accessory,1,Single,5,0,22.0,0.0,1.0,7.0,186.86,8,Hibernating,0.3333333333333333,93.43,0.5833333333333334,Đô thị Trung thành,⚠️ Risk Alert: Gửi email thăm dò mức độ hài lòng
1,0.7812545120716095,1,73.095,0.2504,Low,Low Risk,2,1.0,Mobile,1,15.0,UPI,Male,4.0,6,Mobile Phone,5,Married,3,1,12.0,1.0,2.0,8.0,146.19,5,Hibernating,3.0,48.73,4.0,Đô thị Trung thành,✅ Duy trì chăm sóc tiêu chuẩn
0,0.0018691588193178177,0,145.23,0.4854,High,High Risk,2,15.0,Computer,1,34.0,Cash on Delivery,Female,2.0,4,Laptop & Accessory,1,Married,1,0,11.0,0.0,1.0,4.0,145.23,5,Hibernating,0.25,72.615,0.25,Đô thị Trung thành,⚠️ Risk Alert: Gửi email thăm dò mức độ hài lòng
0,0.010606060922145843,0,130.55,0.4364,High,High Risk,2,6.0,Computer,1,10.0,Cash on Delivery,Male,,3,Laptop & Accessory,4,Married,6,0,15.0,0.0,1.0,7.0,130.55,4,Hibernating,0.4285714285714285,65.275,1.0,Đô thị Trung thành,⚠️ Risk Alert: Gửi email thăm dò mức độ hài lòng
0,0.0018691588193178177,0,18.625,0.0623,Very Low,Low Risk,0,8.0,Mobile,3,22.0,Credit Card,Female,4.0,4,Laptop & Accessory,5,Single,3,0,13.0,2.0,10.0,7.0,186.25,11,Champions,0.4444444444444444,16.931818181818183,0.7777777777777778,VIP Ổn định,✅ Duy trì chăm sóc tiêu chuẩn
0,0.01764705926179886,0,162.32,0.5427,Critical,High Risk,3,0.0,Mobile,3,24.0,Debit Card,Male,3.0,1,Laptop & Accessory,3,Married,3,0,11.0,1.0,1.0,2.0,162.32,9,Recent Customers,1.0,81.16,2.0,Đô thị Trung thành,⚠️ Risk Alert: Gửi email thăm dò mức độ hài lòng
1,0.655089545249939,1,128.86,0.4358,High,High Risk,3,0.0,Computer,1,13.0,Debit Card,Female,,3,Mobile,3,Divorced,2,1,16.0,0.0,1.0,2.0,128.86,6,Recent Customers,3.0,64.43,2.0,Đô thị Trung thành,⚠️ Risk Alert: Gửi email thăm dò mức độ hài lòng
0,0.04102564156055451,0,134.45,0.4497,High,High Risk,2,0.0,Mobile,1,14.0,Credit Card,Female,3.0,3,Mobile,1,Single,2,0,11.0,0.0,1.0,4.0,134.45,4,Hibernating,3.0,67.225,4.0,Đô thị Trung thành,⚠️ Risk Alert: Gửi email thăm dò mức độ hài lòng
1,0.9643804669380188,1,133.88,0.455,High,High Risk,3,0.0,Mobile,1,15.0,Credit Card,Male,3.0,4,Mobile,3,Divorced,1,1,17.0,0.0,1.0,0.0,133.88,7,Recent Customers,4.0,66.94,0.0,Đô thị Trung thành,⚠️ Risk Alert: Gửi email thăm dò mức độ hài lòng
0,0.0,0,145.275,0.4856,High,High Risk,0,26.0,Mobile,1,11.0,Debit Card,Female,2.0,4,Grocery,2,Divorced,4,0,14.0,,2.0,5.0,290.55,11,Champions,0.1481481481481481,96.85,0.1851851851851851,VIP Ổn định,"🎁 VIP Care: Liên hệ cá nhân, tặng quà tri ân"
