customer_index,risk_category,risk_score,cluster_id,persona_label,top_driver_1,top_driver_1_shap_value,top_driver_1_actual_rating,top_driver_2,top_driver_2_shap_value,top_driver_2_actual_rating,top_driver_3,top_driver_3_shap_value,top_driver_3_actual_rating
14,Low,0.3,C1,Trải Nghiệm Kém,Gate location,-0.5429,5.0,Inflight entertainment,-0.3736,2.0,Leg room service,-0.2873,3.0
15,Critical,0.85,C1,Trải Nghiệm Kém,loyal,-1.9506,0.0,Seat comfort,-1.4044,2.0,inflight_experience_score,-1.1838,2.29
16,Critical,0.9999,C1,Trải Nghiệm Kém,loyal,-3.9679,0.0,Inflight entertainment,-1.5861,1.0,Ease of Online booking,-1.2626,1.0
17,High,0.7,C1,Trải Nghiệm Kém,Seat comfort,-1.8934,1.0,Departure Delay in Minutes,-1.7675,259.0,Gate location,-1.2529,5.0
18,Critical,0.9669,C0,Hài Lòng Toàn Diện,Online support,-0.7458,3.0,Inflight entertainment,-0.7446,2.0,Leg room service,-0.5776,3.0
19,Medium,0.3565,C0,Hài Lòng Toàn Diện,loyal,-2.1363,0.0,Inflight wifi service,-0.2437,5.0,Age,-0.2336,29.0
20,Critical,0.85,C1,Trải Nghiệm Kém,loyal,-2.8275,0.0,Seat comfort,-2.7174,1.0,Inflight entertainment,-1.2379,1.0
21,Critical,0.9768,C0,Hài Lòng Toàn Diện,loyal,-2.748,0.0,Seat comfort,-0.9506,2.0,Inflight entertainment,-0.7764,2.0
22,Very Low,0.0,C0,Hài Lòng Toàn Diện,Departure/Arrival time convenient,-0.5749,5.0,Gate location,-0.2889,1.0,Age,-0.1088,36.0
23,Medium,0.5776,C0,Hài Lòng Toàn Diện,Seat comfort,-1.4155,3.0,Departure/Arrival time convenient,-0.5041,5.0,biz_travel,-0.4678,0.0
24,Very Low,0.0,C0,Hài Lòng Toàn Diện,Departure/Arrival time convenient,-0.4712,5.0,Leg room service,-0.1769,3.0,Gate location,-0.1338,4.0
25,Medium,0.4553,C1,Trải Nghiệm Kém,Ease of Online booking,-0.5582,2.0,Leg room service,-0.3686,3.0,inflight_experience_score,-0.3454,3.0
26,Low,0.3,C0,Hài Lòng Toàn Diện,Baggage handling,-0.5942,3.0,Online boarding,-0.1081,4.0,On-board service,-0.0741,4.0
27,Medium,0.4454,C0,Hài Lòng Toàn Diện,Inflight entertainment,-1.0139,3.0,Online support,-0.3057,2.0,Cleanliness,-0.1975,4.0
28,High,0.7213,C0,Hài Lòng Toàn Diện,loyal,-2.8859,0.0,Age,-1.6387,35.0,Checkin service,-0.4048,2.0
29,Very Low,0.0,C0,Hài Lòng Toàn Diện,Departure/Arrival time convenient,-0.3628,5.0,biz_travel,-0.1718,0.0,On-board service,-0.148,3.0
30,Medium,0.6654,C0,Hài Lòng Toàn Diện,loyal,-1.7371,0.0,Departure/Arrival time convenient,-0.7234,5.0,Food and drink,-0.3003,5.0
31,High,0.7747,C0,Hài Lòng Toàn Diện,Seat comfort,-1.3047,3.0,Inflight entertainment,-1.228,3.0,Departure/Arrival time convenient,-1.0498,4.0
32,Low,0.3,C0,Hài Lòng Toàn Diện,Leg room service,-0.4376,2.0,Online boarding,-0.087,4.0,On-board service,-0.0847,3.0
33,Medium,0.3041,C0,Hài Lòng Toàn Diện,Checkin service,-0.5099,1.0,Inflight entertainment,-0.4655,2.0,Age,-0.3738,56.0
34,High,0.8412,C1,Trải Nghiệm Kém,Seat comfort,-1.0591,2.0,inflight_experience_score,-0.7034,2.43,Inflight entertainment,-0.6856,2.0
35,High,0.6929,C1,Trải Nghiệm Kém,Inflight entertainment,-1.8283,3.0,biz_travel,-1.0846,0.0,Seat comfort,-0.9976,3.0
36,Low,0.3,C0,Hài Lòng Toàn Diện,Gate location,-0.3913,5.0,Inflight wifi service,-0.1389,5.0,Departure/Arrival time convenient,-0.1196,5.0
37,Critical,0.9932,C1,Trải Nghiệm Kém,loyal,-3.4852,0.0,Seat comfort,-1.0695,2.0,Inflight entertainment,-0.4971,2.0
38,Very Low,0.3,C0,Hài Lòng Toàn Diện,Gate location,-0.3304,5.0,Leg room service,-0.1757,3.0,Age,-0.1421,31.0
39,Very Low,0.3,C1,Trải Nghiệm Kém,inflight_experience_score,-0.6472,2.0,Gate location,-0.3144,4.0,Ease of Online booking,-0.2141,1.0
40,Low,0.3,C0,Hài Lòng Toàn Diện,Departure/Arrival time convenient,-0.3678,4.0,Seat comfort,-0.3475,3.0,Cleanliness,-0.134,4.0
41,Very Low,0.15,C0,Hài Lòng Toàn Diện,Class_ord,-0.1716,0.0,Age,-0.0866,58.0,Food and drink,-0.073,4.0
42,High,0.8491,C1,Trải Nghiệm Kém,Seat comfort,-1.8516,3.0,loyal,-1.7547,0.0,Inflight entertainment,-1.1952,3.0
43,High,0.7742,C1,Trải Nghiệm Kém,Inflight entertainment,-1.6554,2.0,Seat comfort,-1.0761,2.0,biz_travel,-0.8288,0.0
44,Critical,0.85,C1,Trải Nghiệm Kém,Seat comfort,-1.7001,1.0,Ease of Online booking,-1.4162,1.0,Inflight entertainment,-1.3969,1.0
45,Very Low,0.3,C0,Hài Lòng Toàn Diện,Inflight wifi service,-0.0607,5.0,was_na_Seat comfort,-0.016,0.0,delay_severity,-0.0074,0.0
46,Very Low,0.0,C0,Hài Lòng Toàn Diện,Gate location,-0.3686,3.0,biz_travel,-0.3181,0.0,Departure/Arrival time convenient,-0.3068,4.0
47,Critical,0.9252,C1,Trải Nghiệm Kém,inflight_experience_score,-0.5496,2.86,Checkin service,-0.5214,2.0,Baggage handling,-0.4966,3.0
48,High,0.6999,C0,Hài Lòng Toàn Diện,Inflight entertainment,-1.7398,2.0,Seat comfort,-1.4309,2.0,Flight Distance,-1.161,4296.0
49,Low,0.3,C0,Hài Lòng Toàn Diện,Baggage handling,-0.232,2.0,Inflight wifi service,-0.036,4.0,Online boarding,-0.0359,4.0
50,Critical,0.9935,C1,Trải Nghiệm Kém,Seat comfort,-1.1225,2.0,inflight_experience_score,-1.0599,1.71,Class_ord,-0.5824,2.0
51,High,0.6997,C1,Trải Nghiệm Kém,Seat comfort,-2.0856,1.0,Inflight entertainment,-1.5342,1.0,inflight_experience_score,-1.2665,1.86
52,Critical,0.925,C1,Trải Nghiệm Kém,loyal,-2.0362,0.0,Inflight entertainment,-1.2745,2.0,Seat comfort,-1.2583,2.0
53,Very Low,0.3,C0,Hài Lòng Toàn Diện,Inflight entertainment,-0.426,1.0,Age,-0.0817,47.0,Flight Distance,-0.0599,2184.0
54,Critical,0.8498,C1,Trải Nghiệm Kém,loyal,-1.7086,0.0,Seat comfort,-1.2941,3.0,Inflight entertainment,-1.2009,3.0
55,Very Low,0.3,C0,Hài Lòng Toàn Diện,Age,-0.2095,60.0,delay_severity,-0.0735,0.0,Flight Distance,-0.069,2998.0
56,Very Low,0.0,C0,Hài Lòng Toàn Diện,Departure/Arrival time convenient,-0.6414,5.0,Inflight entertainment,-0.3908,2.0,Inflight wifi service,-0.2825,5.0
57,Medium,0.6065,C1,Trải Nghiệm Kém,loyal,-1.4284,0.0,Class_ord,-0.3796,0.0,Departure/Arrival time convenient,-0.3719,
58,Very Low,0.3,C1,Trải Nghiệm Kém,inflight_experience_score,-0.1446,3.14,Cleanliness,-0.0944,4.0,Checkin service,-0.0664,4.0
59,High,0.697,C1,Trải Nghiệm Kém,Inflight entertainment,-1.3792,3.0,Seat comfort,-1.3777,3.0,Departure/Arrival time convenient,-1.1277,4.0
60,Very Low,0.0,C0,Hài Lòng Toàn Diện,biz_travel,-0.5025,0.0,Class_ord,-0.2127,0.0,delay_severity,-0.1672,0.02
61,High,0.8213,C1,Trải Nghiệm Kém,Inflight entertainment,-1.2378,3.0,Seat comfort,-0.6889,3.0,Cleanliness,-0.52,3.0
62,Medium,0.6396,C1,Trải Nghiệm Kém,loyal,-1.9341,0.0,Departure/Arrival time convenient,-0.763,,inflight_experience_score,-0.3482,2.86
63,High,0.7098,C0,Hài Lòng Toàn Diện,Gate location,-0.5543,5.0,Departure/Arrival time convenient,-0.457,5.0,Food and drink,-0.3711,5.0
64,Medium,0.5296,C0,Hài Lòng Toàn Diện,Gate location,-0.4644,3.0,Baggage handling,-0.3982,3.0,Food and drink,-0.3761,4.0
65,Critical,0.8499,C0,Hài Lòng Toàn Diện,Inflight entertainment,-1.5158,3.0,Seat comfort,-1.332,3.0,loyal,-1.2911,0.0
66,High,0.6887,C0,Hài Lòng Toàn Diện,Inflight entertainment,-1.3175,3.0,Seat comfort,-0.9904,3.0,Departure/Arrival time convenient,-0.8142,4.0
67,Very Low,0.3,C0,Hài Lòng Toàn Diện,Age,-0.0831,54.0,Cleanliness,-0.0522,4.0,was_na_Seat comfort,-0.0137,0.0
68,Critical,0.9962,C1,Trải Nghiệm Kém,Seat comfort,-2.188,2.0,Online support,-0.6283,3.0,Checkin service,-0.5794,2.0
69,Very Low,0.1503,C0,Hài Lòng Toàn Diện,Departure/Arrival time convenient,-0.3643,5.0,Gate location,-0.2791,5.0,Class_ord,-0.0743,0.0
70,Very Low,0.3,C0,Hài Lòng Toàn Diện,Flight Distance,-0.0937,3000.0,Age,-0.0654,57.0,was_na_Seat comfort,-0.0125,0.0
71,Low,0.3,C0,Hài Lòng Toàn Diện,Flight Distance,-0.1508,3469.0,Online boarding,-0.0768,4.0,Cleanliness,-0.0504,4.0
72,Medium,0.3003,C0,Hài Lòng Toàn Diện,Cleanliness,-0.2299,4.0,Checkin service,-0.1019,3.0,Online boarding,-0.0746,4.0
73,Low,0.3,C0,Hài Lòng Toàn Diện,Food and drink,-0.3852,5.0,Age,-0.3712,34.0,Cleanliness,-0.12,4.0
74,Very Low,0.0,C0,Hài Lòng Toàn Diện,Leg room service,-0.2457,2.0,Departure/Arrival time convenient,-0.2408,5.0,Flight Distance,-0.2199,1950.0
75,Medium,0.4552,C0,Hài Lòng Toàn Diện,biz_travel,-0.7707,0.0,Departure/Arrival time convenient,-0.7507,5.0,Gate location,-0.394,3.0
76,Very Low,0.0,C0,Hài Lòng Toàn Diện,biz_travel,-0.5346,0.0,Class_ord,-0.3566,0.0,Seat comfort,-0.2087,3.0
77,Very Low,0.225,C1,Trải Nghiệm Kém,Departure/Arrival time convenient,-0.4968,,Gate location,-0.2445,2.0,Inflight entertainment,-0.2205,
78,Very Low,0.0,C1,Trải Nghiệm Kém,Departure Delay in Minutes,-1.0918,121.0,biz_travel,-0.7678,0.0,inflight_experience_score,-0.352,2.86
79,Medium,0.468,C1,Trải Nghiệm Kém,biz_travel,-0.5422,0.0,Ease of Online booking,-0.4886,2.0,Departure/Arrival time convenient,-0.335,4.0
80,Low,0.3,C1,Trải Nghiệm Kém,Flight Distance,-0.8547,3716.0,inflight_experience_score,-0.2911,2.71,Age,-0.128,60.0
81,Very Low,0.3,C0,Hài Lòng Toàn Diện,Flight Distance,-0.1427,1020.0,Online boarding,-0.084,4.0,was_na_Seat comfort,-0.0169,0.0
82,Medium,0.3756,C1,Trải Nghiệm Kém,Online support,-0.2973,3.0,Leg room service,-0.257,4.0,inflight_experience_score,-0.2191,2.71
83,Critical,0.9995,C1,Trải Nghiệm Kém,Seat comfort,-1.793,1.0,inflight_experience_score,-1.5377,1.71,Inflight entertainment,-0.9338,1.0
84,Very Low,0.3,C0,Hài Lòng Toàn Diện,Checkin service,-0.1921,1.0,delay_severity,-0.1359,0.01,Age,-0.0772,48.0
85,Very Low,0.0,C0,Hài Lòng Toàn Diện,Departure/Arrival time convenient,-0.7648,5.0,Age,-0.2236,61.0,Leg room service,-0.1486,
86,Medium,0.5305,C1,Trải Nghiệm Kém,Cleanliness,-0.3424,3.0,Baggage handling,-0.3403,3.0,On-board service,-0.2869,2.0
87,High,0.6983,C1,Trải Nghiệm Kém,Seat comfort,-1.317,2.0,Inflight entertainment,-1.0943,2.0,inflight_experience_score,-0.8374,2.43
88,Medium,0.3218,C0,Hài Lòng Toàn Diện,Ease of Online booking,-0.923,5.0,Gate location,-0.519,5.0,Inflight wifi service,-0.4652,5.0
89,Critical,0.9274,C0,Hài Lòng Toàn Diện,loyal,-2.5304,0.0,Inflight entertainment,-1.2826,3.0,Seat comfort,-0.8323,3.0
90,Critical,0.85,C1,Trải Nghiệm Kém,loyal,-1.6634,0.0,Seat comfort,-1.3191,2.0,inflight_experience_score,-1.0737,2.57
91,Critical,0.9949,C0,Hài Lòng Toàn Diện,Inflight entertainment,-1.3291,3.0,Gate location,-0.8721,5.0,Departure/Arrival time convenient,-0.7177,5.0
92,Very Low,0.3,C0,Hài Lòng Toàn Diện,Age,-0.0633,48.0,delay_severity,-0.0136,0.0,was_na_Seat comfort,-0.0123,0.0
93,Critical,0.9981,C1,Trải Nghiệm Kém,Seat comfort,-1.1287,2.0,inflight_experience_score,-0.9035,2.0,Online support,-0.787,3.0
94,Very Low,0.0003,C1,Trải Nghiệm Kém,Checkin service,-0.2342,2.0,Class_ord,-0.1586,0.0,was_na_Seat comfort,-0.0284,0.0
95,High,0.7742,C1,Trải Nghiệm Kém,Inflight entertainment,-1.623,2.0,Seat comfort,-1.5385,2.0,Ease of Online booking,-1.0673,5.0
96,Low,0.3,C1,Trải Nghiệm Kém,Inflight entertainment,-0.6922,1.0,inflight_experience_score,-0.3412,2.4,delay_severity,-0.3301,0.03
97,High,0.8488,C1,Trải Nghiệm Kém,loyal,-2.4747,0.0,Seat comfort,-1.7688,2.0,Departure/Arrival time convenient,-1.4932,
98,Very Low,0.15,C0,Hài Lòng Toàn Diện,Departure/Arrival time convenient,-0.5948,4.0,Departure Delay in Minutes,-0.5188,99.0,Class_ord,-0.4716,2.0
99,High,0.698,C0,Hài Lòng Toàn Diện,Inflight entertainment,-1.438,3.0,Seat comfort,-1.2383,3.0,Departure/Arrival time convenient,-1.1057,4.0
100,Low,0.3,C1,Trải Nghiệm Kém,Baggage handling,-0.3695,3.0,Cleanliness,-0.3281,3.0,delay_severity,-0.1395,0.01
101,Medium,0.644,C1,Trải Nghiệm Kém,On-board service,-0.4174,1.0,Online support,-0.3891,3.0,inflight_experience_score,-0.3818,3.0
102,Critical,1.0,C1,Trải Nghiệm Kém,Seat comfort,-2.0133,1.0,inflight_experience_score,-1.3176,2.29,Inflight entertainment,-1.1906,1.0
103,Critical,0.943,C1,Trải Nghiệm Kém,Online support,-0.9331,3.0,inflight_experience_score,-0.8232,2.29,Flight Distance,-0.5356,3608.0
104,Critical,0.9972,C1,Trải Nghiệm Kém,Seat comfort,-1.1297,3.0,Checkin service,-0.7621,1.0,Class_ord,-0.7284,2.0
105,Critical,0.8499,C1,Trải Nghiệm Kém,loyal,-1.6815,0.0,inflight_experience_score,-1.0988,2.29,Inflight entertainment,-0.9888,2.0
106,Critical,0.992,C1,Trải Nghiệm Kém,Class_ord,-1.0421,2.0,Seat comfort,-1.0109,4.0,Online support,-0.6522,3.0
107,Critical,0.9067,C1,Trải Nghiệm Kém,Gate location,-0.6426,5.0,Departure/Arrival time convenient,-0.5946,5.0,Baggage handling,-0.5874,3.0
108,Critical,0.9832,C0,Hài Lòng Toàn Diện,Seat comfort,-0.8765,4.0,Class_ord,-0.7484,2.0,Cleanliness,-0.6706,3.0
109,Very Low,0.0,C0,Hài Lòng Toàn Diện,Gate location,-0.5566,4.0,Departure/Arrival time convenient,-0.5336,5.0,Ease of Online booking,-0.3111,5.0
110,Critical,0.8498,C1,Trải Nghiệm Kém,Seat comfort,-1.3161,3.0,loyal,-1.1177,0.0,Inflight entertainment,-1.0955,3.0
111,Very Low,0.3,C1,Trải Nghiệm Kém,inflight_experience_score,-0.1123,3.0,was_na_Seat comfort,-0.0257,0.0,was_na_Online boarding,0.0,0.0
112,Low,0.3,C0,Hài Lòng Toàn Diện,Flight Distance,-0.1075,2377.0,Cleanliness,-0.104,4.0,Online boarding,-0.0974,4.0
113,Low,0.3,C0,Hài Lòng Toàn Diện,Inflight wifi service,-0.1083,5.0,Age,-0.0693,60.0,delay_severity,-0.0305,0.0
114,Very Low,0.3,C0,Hài Lòng Toàn Diện,Age,-0.2427,57.0,Departure Delay in Minutes,-0.0819,17.0,was_na_Seat comfort,-0.0155,0.0
115,Very Low,0.15,C0,Hài Lòng Toàn Diện,Ease of Online booking,-0.2046,5.0,On-board service,-0.1351,3.0,Age,-0.0924,24.0
116,Very Low,0.153,C0,Hài Lòng Toàn Diện,Cleanliness,-0.2286,3.0,Seat comfort,-0.1834,4.0,Leg room service,-0.1661,3.0
117,Low,0.3,C0,Hài Lòng Toàn Diện,Age,-0.0654,48.0,delay_severity,-0.0647,0.0,Flight Distance,-0.0338,891.0
118,Very Low,0.3,C0,Hài Lòng Toàn Diện,Class_ord,-0.077,2.0,delay_severity,-0.068,0.0,Age,-0.0438,49.0
119,High,0.7749,C0,Hài Lòng Toàn Diện,Inflight entertainment,-1.6921,2.0,Seat comfort,-1.6343,2.0,biz_travel,-1.3353,0.0
120,Low,0.3,C0,Hài Lòng Toàn Diện,Gate location,-0.7339,5.0,Departure/Arrival time convenient,-0.3343,4.0,Ease of Online booking,-0.2476,5.0
121,Critical,1.0,C1,Trải Nghiệm Kém,Seat comfort,-2.2375,1.0,Ease of Online booking,-1.3327,1.0,Inflight entertainment,-1.3104,1.0
122,Medium,0.3121,C1,Trải Nghiệm Kém,Inflight entertainment,-1.3056,3.0,Checkin service,-0.7336,1.0,Cleanliness,-0.1504,4.0
123,Very Low,0.3,C0,Hài Lòng Toàn Diện,Cleanliness,-0.0623,4.0,Age,-0.0575,57.0,was_na_Seat comfort,-0.0164,0.0
124,Very Low,0.225,C0,Hài Lòng Toàn Diện,Inflight entertainment,-0.8434,3.0,Gate location,-0.1876,2.0,Ease of Online booking,-0.1603,5.0
125,Critical,0.8498,C1,Trải Nghiệm Kém,Inflight entertainment,-1.2511,3.0,Seat comfort,-1.2282,3.0,loyal,-1.2259,0.0
126,Very Low,0.0013,C1,Trải Nghiệm Kém,Departure Delay in Minutes,-0.7524,153.0,Flight Distance,-0.6081,3444.0,Inflight entertainment,-0.3585,2.0
127,Critical,0.85,C1,Trải Nghiệm Kém,Seat comfort,-1.7314,2.0,loyal,-1.3873,0.0,Inflight entertainment,-1.1588,2.0
128,High,0.8235,C1,Trải Nghiệm Kém,Seat comfort,-1.1343,2.0,Baggage handling,-0.6241,3.0,Inflight entertainment,-0.4645,2.0
129,High,0.6991,C0,Hài Lòng Toàn Diện,Inflight entertainment,-1.8634,3.0,Seat comfort,-1.1004,3.0,Departure/Arrival time convenient,-0.9137,4.0
130,Low,0.3,C0,Hài Lòng Toàn Diện,Cleanliness,-0.1921,4.0,Baggage handling,-0.0544,4.0,was_na_Seat comfort,-0.0175,0.0
131,Critical,0.9229,C0,Hài Lòng Toàn Diện,loyal,-3.4002,0.0,Flight Distance,-0.9318,3978.0,Seat comfort,-0.8356,2.0
132,High,0.7706,C1,Trải Nghiệm Kém,Seat comfort,-1.0183,2.0,Ease of Online booking,-0.4374,2.0,Cleanliness,-0.3304,4.0
133,Low,0.3,C0,Hài Lòng Toàn Diện,loyal,-0.9114,0.0,Ease of Online booking,-0.2486,5.0,Leg room service,-0.1778,3.0
134,Critical,0.8498,C1,Trải Nghiệm Kém,loyal,-1.7596,0.0,Inflight entertainment,-1.6176,3.0,Seat comfort,-1.0258,3.0
135,Medium,0.597,C0,Hài Lòng Toàn Diện,loyal,-1.1293,0.0,Flight Distance,-0.8617,4164.0,Inflight entertainment,-0.6048,3.0
136,Critical,0.8497,C1,Trải Nghiệm Kém,loyal,-1.638,0.0,Seat comfort,-1.3648,2.0,Inflight entertainment,-1.074,2.0
137,Very Low,0.0355,C0,Hài Lòng Toàn Diện,biz_travel,-1.0278,0.0,Class_ord,-0.2749,0.0,Departure Delay in Minutes,-0.2012,41.0
138,High,0.8261,C1,Trải Nghiệm Kém,Seat comfort,-1.0558,2.0,Baggage handling,-0.7008,3.0,Inflight entertainment,-0.6637,2.0
139,Low,0.3,C0,Hài Lòng Toàn Diện,Flight Distance,-0.4634,3593.0,Gate location,-0.3457,5.0,Departure/Arrival time convenient,-0.1721,5.0
140,Very Low,0.3,C0,Hài Lòng Toàn Diện,delay_severity,-0.1387,0.0,Cleanliness,-0.1068,4.0,Flight Distance,-0.0998,1676.0
141,Low,0.3,C0,Hài Lòng Toàn Diện,Baggage handling,-0.3887,3.0,Flight Distance,-0.3338,3961.0,Leg room service,-0.3001,3.0
142,Critical,0.8497,C1,Trải Nghiệm Kém,loyal,-1.2823,0.0,Inflight entertainment,-1.2473,3.0,Seat comfort,-0.977,3.0
143,Low,0.3,C0,Hài Lòng Toàn Diện,Departure Delay in Minutes,-0.3992,79.0,Flight Distance,-0.0576,2236.0,was_na_Seat comfort,-0.0138,0.0
144,Critical,0.9251,C0,Hài Lòng Toàn Diện,Inflight entertainment,-0.9525,3.0,Checkin service,-0.6047,2.0,Cleanliness,-0.5077,3.0
145,Very Low,0.15,C0,Hài Lòng Toàn Diện,Departure/Arrival time convenient,-0.3578,5.0,Inflight wifi service,-0.3302,5.0,Ease of Online booking,-0.2993,5.0
146,High,0.8249,C0,Hài Lòng Toàn Diện,loyal,-1.9444,0.0,Seat comfort,-1.146,3.0,Inflight entertainment,-1.0819,3.0
147,Very Low,0.1553,C0,Hài Lòng Toàn Diện,Inflight entertainment,-0.9494,3.0,Online support,-0.1242,4.0,Departure/Arrival time convenient,-0.0853,4.0
148,Medium,0.3003,C0,Hài Lòng Toàn Diện,Cleanliness,-0.1074,4.0,was_na_Seat comfort,-0.0188,0.0,was_na_Departure/Arrival time convenient,-0.0002,0.0
149,Medium,0.6053,C1,Trải Nghiệm Kém,Inflight entertainment,-1.0003,2.0,inflight_experience_score,-0.7519,2.43,Seat comfort,-0.7047,3.0
150,Low,0.3,C0,Hài Lòng Toàn Diện,Departure Delay in Minutes,-0.456,116.0,Food and drink,-0.2241,5.0,Online boarding,-0.0996,4.0
151,Very Low,0.1503,C0,Hài Lòng Toàn Diện,On-board service,-0.2202,4.0,Gate location,-0.1571,3.0,Leg room service,-0.1203,2.0
152,Medium,0.5567,C1,Trải Nghiệm Kém,Cleanliness,-0.3998,3.0,Ease of Online booking,-0.3803,2.0,On-board service,-0.2615,1.0
153,Low,0.3,C0,Hài Lòng Toàn Diện,delay_severity,-0.0296,0.0,was_na_Seat comfort,-0.0144,0.0,was_na_Online boarding,0.0,0.0
154,Critical,0.85,C0,Hài Lòng Toàn Diện,loyal,-2.3256,0.0,Seat comfort,-1.4787,3.0,Inflight entertainment,-1.3612,3.0
155,Very Low,0.0,C0,Hài Lòng Toàn Diện,Gate location,-0.5821,3.0,Inflight entertainment,-0.3989,,Baggage handling,-0.3386,3.0
156,Low,0.3,C0,Hài Lòng Toàn Diện,loyal,-0.881,0.0,Departure/Arrival time convenient,-0.3351,,Gate location,-0.3127,5.0
157,Medium,0.6304,C1,Trải Nghiệm Kém,inflight_experience_score,-0.676,2.57,Ease of Online booking,-0.4204,2.0,Seat comfort,-0.2904,2.0
158,Very Low,0.3,C0,Hài Lòng Toàn Diện,Age,-0.0468,37.0,Online boarding,-0.0287,4.0,was_na_Seat comfort,-0.014,0.0
159,Very Low,0.15,C0,Hài Lòng Toàn Diện,Food and drink,-0.4137,4.0,Gate location,-0.1815,1.0,Inflight entertainment,-0.0856,4.0
160,Critical,1.0,C1,Trải Nghiệm Kém,Seat comfort,-2.0043,1.0,Gate location,-1.2083,5.0,Inflight entertainment,-1.2011,1.0
161,Very Low,0.15,C0,Hài Lòng Toàn Diện,Cleanliness,-0.1751,3.0,Flight Distance,-0.0957,2934.0,Leg room service,-0.0528,4.0
162,Medium,0.6531,C1,Trải Nghiệm Kém,Seat comfort,-1.4011,3.0,Gate location,-0.5637,4.0,Baggage handling,-0.3926,3.0
163,Low,0.3,C1,Trải Nghiệm Kém,inflight_experience_score,-0.3199,2.86,Age,-0.1494,60.0,Seat comfort,-0.1086,3.0
164,Medium,0.5374,C0,Hài Lòng Toàn Diện,loyal,-1.6914,0.0,Age,-0.3188,29.0,Inflight wifi service,-0.2756,5.0
165,High,0.6994,C1,Trải Nghiệm Kém,Seat comfort,-1.5053,3.0,Inflight entertainment,-1.2198,3.0,Departure/Arrival time convenient,-0.9247,5.0
166,Low,0.3,C1,Trải Nghiệm Kém,loyal,-0.7929,0.0,Departure/Arrival time convenient,-0.3081,5.0,Age,-0.1378,28.0
167,Very Low,0.0,C0,Hài Lòng Toàn Diện,Class_ord,-0.2742,0.0,biz_travel,-0.1845,0.0,inflight_experience_score,-0.1639,3.14
168,Low,0.3,C0,Hài Lòng Toàn Diện,Cleanliness,-0.3985,3.0,Food and drink,-0.2149,4.0,Flight Distance,-0.1271,2945.0
169,Medium,0.302,C0,Hài Lòng Toàn Diện,Leg room service,-0.601,3.0,Checkin service,-0.5474,2.0,Cleanliness,-0.1821,4.0
170,High,0.7745,C0,Hài Lòng Toàn Diện,Departure/Arrival time convenient,-2.1312,5.0,Inflight entertainment,-1.8014,2.0,Seat comfort,-1.6995,2.0
171,Very Low,0.3,C0,Hài Lòng Toàn Diện,Age,-0.1899,58.0,Flight Distance,-0.1585,2002.0,Departure Delay in Minutes,-0.0911,13.0
172,Very Low,0.3,C0,Hài Lòng Toàn Diện,Age,-0.2614,59.0,Checkin service,-0.0845,4.0,Flight Distance,-0.0413,2194.0
